r_mean,r_median,r_std,g_mean,g_median,g_std,b_mean,b_median,b_std,green_coverage,hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,sobel_mean,sobel_std,canny_mean,canny_std,binary_mean,binary_std,lbp_mean,lbp_std,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,contrast,dissimilarity,homogeneity,energy,glcm_corre,ASM,entropy,image_id,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Total_g,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g
115.0005635,117.0,70.014113707041,139.2003735,145.0,69.13190061730182,78.6653575,75.0,63.422367662341266,0.890025,41.9511185,9.365922223623135,139.444916,67.57239262267503,140.2522315,69.25207336080565,211.83989821851097,194.9772941723493,67.13895,112.30669455957425,128.487615,127.49617490972729,5.8610076904296875,3.518637856254356,0.126007080078125,0.1173248291015625,0.0374908447265625,0.022735595703125,0.022491455078125,0.02545166015625,0.036468505859375,0.1108245849609375,0.122161865234375,0.3790435791015625,5405.681635564275,55.3644931186384,0.031126967917931327,0.006003857257872016,0.3557944484261099,3.61779247369127e-05,10.459544643756805,ID1473228876,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,38.1,28.0865,10.0135,0.0,28.0865
116.120676,111.0,60.374663910476734,131.7191535,130.0,61.00847938396299,62.4931445,49.0,55.42772597718691,0.796227,36.10285,7.488965674744412,159.333324,61.95733230305372,133.568472,60.645250964813535,211.92617081301952,173.38830326908123,75.46623,116.39904114547977,110.7425475,126.39397843928424,5.945526123046875,3.5130405610309205,0.126983642578125,0.1123046875,0.03436279296875,0.0197906494140625,0.0202178955078125,0.026092529296875,0.0350341796875,0.110137939453125,0.1230621337890625,0.3920135498046875,4910.950737337206,54.547488375872916,0.02229794487376759,0.0058003893727660875,0.21535657620323212,3.367243651686477e-05,10.465325671147676,ID1193692654,2015/9/11,Tas,Ryegrass,0.69,3.1667,20.0276,13.4232,6.3317,0.2727,13.6959
114.177762,95.0,75.93566143566115,112.4844575,95.0,76.50733078882503,80.5468115,54.0,73.06861856285137,0.366446,28.9291185,20.125138069413527,112.115859,67.66593396009634,119.910054,76.41763426537807,222.11363303803932,215.79331206884814,65.693355,111.51766063652867,94.2794925,123.09609206405558,5.877349853515625,3.472557687460244,0.124725341796875,0.108642578125,0.0359344482421875,0.025115966796875,0.0254058837890625,0.03167724609375,0.039886474609375,0.1162261962890625,0.122894287109375,0.3694915771484375,6530.043748469573,59.42195952279536,0.03644741011243787,0.006754526162573944,0.367405019577967,4.596042759394357e-05,10.450408815140378,ID353424190,2015/2/25,NSW,Fescue,0.41,6.0,29.0,22.7857,6.2143,0.0,22.7857
111.08775,113.0,53.2672727379345,131.317116,138.0,53.71440775474067,104.31854,107.0,54.9159362504947,0.896873,53.85752,18.259250791026453,73.433942,49.65698413456696,132.2393695,53.67672577330393,142.61118334064872,143.13215302363025,53.8219575,104.05669634083235,126.7481325,127.4977830994031,5.8283233642578125,3.4727056076253326,0.11492919921875,0.115447998046875,0.041839599609375,0.0328826904296875,0.032012939453125,0.032379150390625,0.038482666015625,0.10205078125,0.1144256591796875,0.37554931640625,3462.8009881868115,42.624314911935016,0.040816686166292845,0.006936142332201597,0.3534895567497403,4.84891809407305e-05,10.242714501690372,ID61833032,2015/6/30,Vic,Phalaris_Clover,0.8,4.8,61.1,41.4877,19.6123,0.0,41.4877
101.298093,87.0,69.27428420823523,129.262278,120.0,68.36737316330587,51.7897465,28.0,59.37702933766338,0.9757015,41.555142,5.548363845300343,182.348062,63.55441504603874,129.4215,68.37317816768503,182.8562383207043,172.28169592037867,63.5754525,110.31727982016352,95.03595,123.29775122684718,5.92620849609375,3.504968972686938,0.1243743896484375,0.1122894287109375,0.0369110107421875,0.0227508544921875,0.0222320556640625,0.0261688232421875,0.0351715087890625,0.106781005859375,0.126312255859375,0.3870086669921875,5441.870088743863,55.493382668337134,0.027258410405092325,0.005887383314361044,0.35288366395432746,3.481546759570396e-05,10.499161795823289,ID471758347,2015/8/14,Vic,Phalaris_Clover,0.74,6.0,29.9,26.5778,3.3222,0.0,26.5778
109.0868135,108.0,63.88322249946554,149.564071,152.0,62.54563996720279,68.3310825,59.0,60.324376307411534,0.9957275,45.414526,4.350343112367574,163.6895805,66.05892827040127,149.585707,62.54442623695699,186.60395384548588,169.65924745863924,63.71685,110.39909318503261,128.135205,127.49841769452664,5.86328125,3.505704318472208,0.127349853515625,0.113372802734375,0.0352020263671875,0.0236968994140625,0.0237884521484375,0.029876708984375,0.0380096435546875,0.1112213134765625,0.1200714111328125,0.377410888671875,5011.14675338252,53.30017724553599,0.030798782084902332,0.005961979964418033,0.3062900203339544,3.5682405882009705e-05,10.443465186040731,ID1036339023,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,57.88,32.191,2.6135,23.0755,55.2665
98.6500105,97.0,52.5236483105457,143.8646395,151.0,54.63324498906358,73.166176,67.0,52.081438637359305,0.9910315,49.8989755,7.331824571714721,143.3991335,56.66631899946545,143.9126425,54.6302745020304,125.83347344373873,132.3658535766831,51.08925,102.06687652925166,123.7569825,127.44504627483447,5.8557891845703125,3.4686973522877134,0.1128997802734375,0.1187591552734375,0.042205810546875,0.027862548828125,0.0275726318359375,0.0309906005859375,0.0413818359375,0.1071319580078125,0.1151885986328125,0.376007080078125,3305.2317520005604,42.64746723015329,0.03611734284646387,0.006647733478103082,0.37590837886264183,4.451606130951381e-05,10.251543355424305,ID315357834,2015/7/1,Tas,Ryegrass,0.83,6.0,33.024,27.2448,5.7792,0.0,27.2448
106.936095,94.0,71.89725289015553,132.890491,125.0,71.53134593853886,69.5404915,50.0,64.41163593201485,0.901848,42.547554,9.303977354716853,152.1255335,68.96696909275035,133.862672,71.71354454369421,201.2532587614139,193.623603677112,63.8386125,110.46935204650583,111.8079375,126.53066495714029,5.8562774658203125,3.4828710263371305,0.1242828369140625,0.1125335693359375,0.0365753173828125,0.0243072509765625,0.02545166015625,0.030792236328125,0.04058837890625,0.1159820556640625,0.1188812255859375,0.37060546875,5426.704320003949,54.69372546016934,0.033501998409141795,0.006269000311311199,0.3967467214619795,3.949207819041895e-05,10.432465947751943,ID1314135397,2015/1/15,NSW,Fescue_CrumbWeed,0.75,6.0,44.7,28.0322,16.6678,0.0,28.0322
111.4717325,111.0,49.90046726182475,148.6880425,154.0,50.75869974711916,56.086266,48.0,46.037088463294936,0.970698,42.12599,5.130573507893634,173.181431,53.29230499605208,148.904058,50.65791837543896,138.3985731954209,135.35891179923004,60.3425625,108.37955798227632,130.7824875,127.45773917582386,5.9082794189453125,3.497652994616987,0.119598388671875,0.11627197265625,0.037841796875,0.024871826171875,0.0236663818359375,0.0276641845703125,0.037750244140625,0.1054840087890625,0.117828369140625,0.3890228271484375,2989.136803017561,41.30911483864529,0.03360678691920979,0.006926011768697379,0.32360654350196677,4.816280963866337e-05,10.179211978778707,ID1450399782,2015/9/11,Tas,Ryegrass,0.86,5.8333,57.4741,38.202,19.082,0.1901,38.3921
80.921515,61.0,57.84512753123444,79.2821605,61.0,56.05943116864672,69.7096755,55.0,51.267286686391905,0.289259,73.5590425,56.64169510160508,67.86035,53.60865180992245,86.1442205,57.279796001272366,160.96460707546544,169.37608926894325,60.0044325,108.16930418493473,44.4193425,96.71532634162848,6.0023040771484375,3.447656011191072,0.1138916015625,0.1096954345703125,0.038055419921875,0.0233612060546875,0.0232391357421875,0.027435302734375,0.0349884033203125,0.114288330078125,0.1290740966796875,0.3859710693359375,3753.688874787742,41.59488245207464,0.04394218131899288,0.00982394362050878,0.3369680749138394,9.673331059300278e-05,9.787331339420094,ID212206250,2015/7/8,WA,Clover,0.3,1.0,9.72,2.4,0.0,7.32,9.72
